Subject,sex,age,Dist,speed,TotalObjVisits,TotalHallwayVisits,turns,pauses,evenness,HallEvenness,ButtonPress,entropy,hallwayseq
418,Female,midlife,256.75,0.5348958333333333,16,67.5,64.5,909.730038853813,1.4240006242195884,4.0034707164881045,144.5,3.1011666175565606,9
419,Female,midlife,259.5,0.540625,12.5,66,65.5,908.325292103141,1.3017082793177757,3.1534813214040835,142,3.079625962684139,14
420,Female,midlife,272,0.5666666666666667,15,70,71,580.602688172043,1.118033988749895,2.5055493963954847,153.5,3.136736652154478,10
421,Female,midlife,229.375,0.4778645833333333,14.5,58.5,76,862.89459382150994,1.5634719199411433,2.1666666666666665,146,3.139788134799822,10
422,Female,midlife,233,0.48541666666666666,12.5,58,69.5,981.141177411615,1.986062547968831,3.140240613569462,138,3.062067388134507,11
423,Female,midlife,239.75,0.49947916666666664,15,67.5,79.5,707.53192931991,2.7838821814150108,4.594682917363407,157,2.9865892183129015,10
425,Female,midlife,247.75,0.5161458333333333,15,66.5,72.5,776.654155868197,1.224744871391589,2.6457513110645907,148,3.1349096636158733,7
427,Female,midlife,219.75,0.4578125,13,60,66,1145.3254162865,2.204792759220492,2.7436796055257213,133.5,3.055837274877021,10
429,Female,midlife,186.875,0.3893229166666667,12,50.5,75,1294.24480328831,2.179449471770337,2.650995620097811,131.5,2.9720030455005633,15
430,Female,midlife,215.125,0.44817708333333334,11.5,52.5,49,1791.6540526934,1.3333333333333333,2.3979157616563596,110.5,3.0383019763659624,18
432,Female,midlife,249.75,0.5203125,14,68.5,77,738.964318211361,1.0540925533894598,2.068278940998476,153,3.1384174580541586,14
434,Female,midlife,219.5,0.45729166666666665,10,57,62.5,1360.70511165612,1.6414763002993509,2.598076211353316,125.5,2.971233332060449,15
319,Male,midlife,207,0.43125,12,57,71,1251.20005699629,1.118033988749895,1.509230856356236,134,3.137686844880268,16
320,Male,midlife,274.25,0.5713541666666667,14.5,71,52,988.399305178591,1.2018504251546631,1.922093765778466,137.5,3.119386388942037,17
321,Male,midlife,272.375,0.5674479166666667,15,68.5,76.5,548.747317899491,1.118033988749895,2.279132388529557,158.5,3.1245934645587687,10
322,Male,midlife,230.75,0.48072916666666665,12,66,64.5,1239.90886026542,1.5811388300841898,2.7131367660166177,135.5,3.081847739610049,12
325,Male,midlife,257.875,0.5372395833333333,14.5,65.5,60.5,931.210955710956,0.8333333333333334,2.2973414586817036,138.5,3.1359414220847794,11
