10 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.167433 [3865 voxels],0.138205 [5681 voxels],0.135762 [5398 voxels],0.289977 [2257 voxels],0.186828 [2224 voxels],0.167287 [3910 voxels],0.170937 [3444 voxels],0.272825 [2406 voxels],0.25642 [2152 voxels],074,074,0.136592 [4171 voxels],0.170142 [4452 voxels],0.116067 [7753 voxels],0.116509 [7686 voxels],0.187163 [3274 voxels]
044,044,044,044,044,044,044,044,044,075,075,044,044,044,044,044
0.134984 [3865 voxels],0.133801 [5681 voxels],0.148068 [5398 voxels],0.274508 [2257 voxels],0.203033 [2224 voxels],0.193704 [3910 voxels],0.234195 [3444 voxels],0.235499 [2406 voxels],0.205091 [2152 voxels],076,076,0.145223 [4171 voxels],0.117522 [4452 voxels],0.0820411 [7753 voxels],0.0961449 [7686 voxels],0.183723 [3274 voxels]
045,045,045,045,045,045,045,045,045,078,078,045,045,045,045,045
0.161158 [3865 voxels],0.159552 [5681 voxels],0.167537 [5398 voxels],0.279104 [2257 voxels],0.183911 [2224 voxels],0.268594 [3910 voxels],0.240247 [3444 voxels],0.340422 [2406 voxels],0.299748 [2152 voxels],079,079,0.179599 [4171 voxels],0.182831 [4452 voxels],0.112616 [7753 voxels],0.136982 [7686 voxels],0.238204 [3274 voxels]
046,046,046,046,046,046,046,046,046,081,081,046,046,046,046,046
0.155222 [3865 voxels],0.0882748 [5681 voxels],0.0829244 [5398 voxels],0.207527 [2257 voxels],0.12397 [2224 voxels],0.149247 [3910 voxels],0.184807 [3444 voxels],0.210904 [2406 voxels],0.17766 [2152 voxels],082,082,0.177569 [4171 voxels],0.172177 [4452 voxels],0.0732041 [7753 voxels],0.100741 [7686 voxels],0.129179 [3274 voxels]
047,047,047,047,047,047,047,047,047,085,085,047,047,047,047,047
0.193524 [3865 voxels],0.162362 [5681 voxels],0.158306 [5398 voxels],0.196928 [2257 voxels],0.154222 [2224 voxels],0.228783 [3910 voxels],0.234478 [3444 voxels],0.232413 [2406 voxels],0.19059 [2152 voxels],086,086,0.162946 [4171 voxels],0.155286 [4452 voxels],0.134356 [7753 voxels],0.153395 [7686 voxels],0.227659 [3274 voxels]
049,049,049,049,049,049,049,049,049,088,088,049,049,049,049,049
