10 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.506701 [3865 voxels],0.511579 [5681 voxels],0.506463 [5398 voxels],0.540138 [2257 voxels],0.527264 [2224 voxels],0.561242 [3910 voxels],0.531307 [3444 voxels],0.535847 [2406 voxels],0.538758 [2152 voxels],,,0.48759 [4171 voxels],0.481511 [4452 voxels],0.493381 [7753 voxels],0.445068 [7686 voxels],0.54608 [3274 voxels]
096,096,096,096,096,096,096,096,096,,,096,096,096,096,096
0.553827 [3865 voxels],0.540129 [5681 voxels],0.525863 [5398 voxels],0.549293 [2257 voxels],0.573074 [2224 voxels],0.563645 [3910 voxels],0.558317 [3444 voxels],0.555083 [2406 voxels],0.527404 [2152 voxels],,,0.499699 [4171 voxels],0.479295 [4452 voxels],0.506628 [7753 voxels],0.461903 [7686 voxels],0.590507 [3274 voxels]
098,098,098,098,098,098,098,098,098,,,098,098,098,098,098
0.554536 [3865 voxels],0.587599 [5681 voxels],0.573851 [5398 voxels],0.536796 [2257 voxels],0.585686 [2224 voxels],0.577278 [3910 voxels],0.576346 [3444 voxels],0.559676 [2406 voxels],0.560378 [2152 voxels],,,0.569171 [4171 voxels],0.501845 [4452 voxels],0.550963 [7753 voxels],0.497197 [7686 voxels],0.564142 [3274 voxels]
099,099,099,099,099,099,099,099,099,,,099,099,099,099,099
0.494527 [3865 voxels],0.595155 [5681 voxels],0.588839 [5398 voxels],0.548733 [2257 voxels],0.555567 [2224 voxels],0.54977 [3910 voxels],0.525973 [3444 voxels],0.54601 [2406 voxels],0.525525 [2152 voxels],,,0.503457 [4171 voxels],0.520222 [4452 voxels],0.518501 [7753 voxels],0.487592 [7686 voxels],0.542959 [3274 voxels]
100,100,100,100,100,100,100,100,100,,,100,100,100,100,100
0.567405 [3865 voxels],0.527274 [5681 voxels],0.551755 [5398 voxels],0.530902 [2257 voxels],0.572507 [2224 voxels],0.573907 [3910 voxels],0.571326 [3444 voxels],0.550272 [2406 voxels],0.547235 [2152 voxels],,,0.522995 [4171 voxels],0.517279 [4452 voxels],0.53217 [7753 voxels],0.502128 [7686 voxels],0.625514 [3274 voxels]
101,101,101,101,101,101,101,101,101,,,101,101,101,101,101
